INFO: Waiting for solution ...
INFO: Algorithm took 0.009 seconds.
INFO: Step 001 - from (1, 3) to (1, 2) ; cost 1
INFO: Step 036 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 037 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 038 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 039 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 040 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 041 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 042 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 043 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 044 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 045 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 046 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 047 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 048 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 049 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 050 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 051 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 052 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 053 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 054 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 055 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 056 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 057 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 058 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 059 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 060 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 061 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 062 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 063 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 064 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 065 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 066 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 067 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 068 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 069 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 070 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 071 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 072 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 073 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 074 - from (0, 0) to (0, 1) ; cost 1
INFO: Step 075 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 076 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 077 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 078 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 079 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 080 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 081 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 082 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 083 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 084 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 085 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 086 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 087 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 088 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 089 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 090 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 091 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 092 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 093 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 094 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 095 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 096 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 097 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 098 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 099 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 100 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 101 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 102 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 103 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 104 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 105 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 106 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 107 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 108 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 109 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 110 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 111 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 112 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 113 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 114 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 115 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 116 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 117 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 118 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 119 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 120 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 121 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 122 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 123 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 124 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 125 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 126 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 127 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 128 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 129 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 130 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 131 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 132 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 133 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 134 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 135 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 136 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 137 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 138 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 139 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 140 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 141 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 142 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 143 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 144 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 145 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 146 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 147 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 148 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 149 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 150 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 151 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 152 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 153 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 154 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 155 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 156 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 157 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 158 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 159 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 160 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 161 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 162 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 163 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 164 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 165 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 166 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 167 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 168 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 169 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 170 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 171 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 172 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 173 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 174 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 175 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 176 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 177 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 178 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 179 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 180 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 181 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 182 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 183 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 184 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 185 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 186 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 187 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 188 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 189 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 190 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 191 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 192 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 193 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 194 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 195 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 196 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 197 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 198 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 199 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 200 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 201 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 202 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 203 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 204 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 205 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 206 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 207 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 208 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 209 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 210 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 211 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 212 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 213 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 214 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 215 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 216 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 217 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 218 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 219 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 220 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 221 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 222 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 223 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 224 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 225 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 226 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 227 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 228 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 229 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 230 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 231 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 232 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 233 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 234 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 235 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 236 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 237 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 238 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 239 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 240 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 241 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 242 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 243 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 244 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 245 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 246 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 247 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 248 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 249 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 250 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 251 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 252 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 253 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 254 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 255 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 256 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 257 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 258 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 259 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 260 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 261 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 262 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 263 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 264 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 265 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 266 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 267 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 268 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 269 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 270 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 271 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 272 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 273 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 274 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 275 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 276 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 277 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 278 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 279 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 280 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 281 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 282 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 283 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 284 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 285 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 286 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 287 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 288 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 289 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 290 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 291 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 292 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 293 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 294 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 295 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 296 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 297 - from (0, 2) to (0, 1) ; cost 1
INFO: Step 298 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 299 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 300 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 301 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 302 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 303 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 304 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 305 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 306 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 307 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 308 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 309 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 310 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 311 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 312 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 313 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 314 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 315 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 316 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 317 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 318 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 319 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 320 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 321 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 322 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 323 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 324 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 325 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 326 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 327 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 328 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 329 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 330 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 331 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 332 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 333 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 334 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 335 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 336 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 337 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 338 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 339 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 340 - from (0, 2) to (0, 1) ; cost 1
INFO: Step 341 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 342 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 343 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 344 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 345 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 346 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 347 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 348 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 349 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 350 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 351 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 352 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 353 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 354 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 355 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 356 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 357 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 358 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 359 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 360 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 361 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 362 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 363 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 364 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 365 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 366 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 367 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 368 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 369 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 370 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 371 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 372 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 373 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 374 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 375 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 376 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 377 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 378 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 379 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 380 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 381 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 382 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 383 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 384 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 385 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 386 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 387 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 388 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 389 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 390 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 391 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 392 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 393 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 394 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 395 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 396 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 397 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 398 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 399 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 400 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 401 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 402 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 403 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 404 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 405 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 406 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 407 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 408 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 409 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 410 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 411 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 412 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 413 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 414 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 415 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 416 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 417 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 418 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 419 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 420 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 421 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 422 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 423 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 424 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 425 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 426 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 427 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 428 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 429 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 430 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 431 - from (2, 3) to (2, 0) ; cost 3
INFO: Path length is 431 steps.
INFO: Path cost is 1004 units.
