INFO: Waiting for solution ...
INFO: Algorithm took 14.474 seconds.
INFO: Step 001 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 278 - from (1, 4) to (0, 4) ; cost 1
INFO: Step 279 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 280 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 281 - from (2, 4) to (2, 3) ; cost 1
INFO: Step 282 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 283 - from (10, 11) to (6, 11) ; cost 4
INFO: Step 284 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 285 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 286 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 287 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 288 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 289 - from (3, 4) to (3, 11) ; cost 7
INFO: Step 290 - from (3, 11) to (2, 11) ; cost 1
INFO: Step 291 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 292 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 293 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 294 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 295 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 296 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 297 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 298 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 299 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 300 - from (4, 4) to (4, 2) ; cost 2
INFO: Step 301 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 302 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 303 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 304 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 305 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 306 - from (6, 11) to (6, 10) ; cost 1
INFO: Step 307 - from (6, 10) to (2, 10) ; cost 4
INFO: Step 308 - from (2, 10) to (2, 11) ; cost 1
INFO: Step 309 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 310 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 311 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 312 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 313 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 314 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 315 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 316 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 317 - from (7, 0) to (0, 0) ; cost 7
INFO: Step 318 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 319 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 320 - from (3, 4) to (3, 11) ; cost 7
INFO: Step 321 - from (3, 11) to (2, 11) ; cost 1
INFO: Step 322 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 323 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 324 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 325 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 326 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 327 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 328 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 329 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 330 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 331 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 332 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 333 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 334 - from (7, 0) to (7, 1) ; cost 1
INFO: Step 335 - from (7, 1) to (5, 1) ; cost 2
INFO: Step 336 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 337 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 338 - from (0, 3) to (6, 3) ; cost 6
INFO: Step 339 - from (6, 3) to (6, 8) ; cost 5
INFO: Step 340 - from (6, 8) to (0, 8) ; cost 6
INFO: Step 341 - from (0, 8) to (0, 11) ; cost 3
INFO: Step 342 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 343 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 344 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 345 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 346 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 347 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 348 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 349 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 350 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 351 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 352 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 353 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 354 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 355 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 356 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 357 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 358 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 359 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 360 - from (7, 0) to (0, 0) ; cost 7
INFO: Step 361 - from (8, 0) to (1, 0) ; cost 7
INFO: Step 362 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 363 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 364 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 365 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 366 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 367 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 368 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 369 - from (3, 4) to (3, 11) ; cost 7
INFO: Step 370 - from (3, 11) to (2, 11) ; cost 1
INFO: Step 371 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 372 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 373 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 374 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 375 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 376 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 377 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 378 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 379 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 380 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 381 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 382 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 383 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 384 - from (0, 2) to (1, 2) ; cost 1
INFO: Step 385 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 386 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 387 - from (1, 2) to (0, 2) ; cost 1
INFO: Step 388 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 389 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 390 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 391 - from (0, 4) to (0, 1) ; cost 3
INFO: Step 392 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 393 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 394 - from (3, 1) to (3, 11) ; cost 10
INFO: Step 395 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 396 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 397 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 398 - from (7, 0) to (7, 1) ; cost 1
INFO: Step 399 - from (7, 1) to (5, 1) ; cost 2
INFO: Step 400 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 401 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 402 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 403 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 404 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 405 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 406 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 407 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 408 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 409 - from (0, 2) to (1, 2) ; cost 1
INFO: Step 410 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 411 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 412 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 413 - from (1, 2) to (0, 2) ; cost 1
INFO: Step 414 - from (0, 2) to (0, 4) ; cost 2
INFO: Step 415 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 416 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 417 - from (3, 4) to (0, 4) ; cost 3
INFO: Step 418 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 419 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 420 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 421 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 422 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 423 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 424 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 425 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 426 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 427 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 428 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 429 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 430 - from (0, 2) to (1, 2) ; cost 1
INFO: Step 431 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 432 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 433 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 434 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 435 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 436 - from (1, 2) to (0, 2) ; cost 1
INFO: Step 437 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 438 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 439 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 440 - from (0, 0) to (0, 1) ; cost 1
INFO: Step 441 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 442 - from (0, 2) to (0, 4) ; cost 2
INFO: Step 443 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 444 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 445 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 446 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 447 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 448 - from (0, 1) to (3, 1) ; cost 3
